fuente,producto_id,sku_id,nombre,marca,precio_ars,precio_lista,disponible,volumen_ml,precio_por_ml,categoria_raw,tipo_producto,linea_tipo,tipo_cabello,url
Jumbo,405294,402229,Shampoo Fructis Hydraliss 200ml,FRUCTIS,5900.0,487603.0,True,200.0,29.5,> Perfumería > Cuidado Capilar > Shampoo >,shampoo,estandar,general,https://www.jumbo.com.ar/shampoo-fructis-hydraliss-200ml/p
Jumbo,3087475,3086698,Shampoo Pantene Restauracion 700ml,PANTENE,17250.0,1425620.0,True,700.0,24.6429,> Perfumería > Cuidado Capilar > Shampoo >,shampoo,estandar,general,https://www.jumbo.com.ar/shampoo-pantene-restauracion-700ml/p
Jumbo,400585,397923,Shampoo Elvive Colorvive 400ml,ELVIVE,11123.0,919256.0,True,400.0,27.8075,> Perfumería > Cuidado Capilar > Shampoo >,shampoo,profesional,tratado,https://www.jumbo.com.ar/shampoo-elvive-colorvive-400ml/p
Jumbo,3087378,3086599,Shampoo Dove Regeneracionretinol 650ml,DOVE,16700.0,1380165.0,True,650.0,25.6923,> Perfumería > Cuidado Capilar > Shampoo >,shampoo,estandar,general,https://www.jumbo.com.ar/shampoo-dove-regeneracionretinol-650ml/p
Jumbo,405288,402223,Shampoo Fructis Hydraliss 350ml,FRUCTIS,8600.0,710744.0,True,350.0,24.5714,> Perfumería > Cuidado Capilar > Shampoo >,shampoo,estandar,general,https://www.jumbo.com.ar/shampoo-fructis-hydraliss-350ml/p
Jumbo,3087465,3086687,Shampoo Dove Reconstaminoacido 650ml,DOVE,16700.0,1380165.0,True,650.0,25.6923,> Perfumería > Cuidado Capilar > Shampoo >,shampoo,estandar,general,https://www.jumbo.com.ar/shampoo-dove-reconstaminoacido-650ml/p
Jumbo,411249,407089,Shampoo Dove Hidratacion X400ml,DOVE,9150.0,756198.0,True,400.0,22.875,> Perfumería > Cuidado Capilar > Shampoo >,shampoo,estandar,seco_danado,https://www.jumbo.com.ar/shampoo-dove-hidratacion-x400ml/p
Jumbo,412482,408091,Shampoo Fructis Liso Coco 200ml,FRUCTIS,5900.0,487603.0,True,200.0,29.5,> Perfumería > Cuidado Capilar > Shampoo >,shampoo,estandar,general,https://www.jumbo.com.ar/shampoo-fructis-liso-coco-200ml-3/p
Jumbo,404462,401464,Shampoo Nutritivo 420 Ml Capilatis,CAPILATIS,9650.0,797521.0,True,420.0,22.9762,> Perfumería > Cuidado Capilar > Shampoo >,shampoo,estandar,general,https://www.jumbo.com.ar/shampoo-nutritivo-420-ml-capilatis/p
Jumbo,251369,250670,Shampoo Herbal Essences Rosemary 400ml,HERBAL ESSENCES,16900.0,1396694.0,True,400.0,42.25,> Perfumería > Cuidado Capilar > Shampoo >,shampoo,estandar,general,https://www.jumbo.com.ar/shampoo-herbal-essences-rosemary-400ml/p
Jumbo,412488,408096,Shampoo Fructis Regarga Nutritiva 350ml,FRUCTIS,8600.0,710744.0,True,350.0,24.5714,> Perfumería > Cuidado Capilar > Shampoo >,shampoo,estandar,general,https://www.jumbo.com.ar/shampoo-fructis-regarga-nutritiva-350ml/p
Jumbo,3087383,3086604,Shampoo Dove Nutritri Oleos 650ml,DOVE,16700.0,1380165.0,True,650.0,25.6923,> Perfumería > Cuidado Capilar > Shampoo >,shampoo,estandar,general,https://www.jumbo.com.ar/shampoo-dove-nutritri-oleos-650ml/p
Jumbo,251381,250684,Shampoo Herbal Essences Argan 400ml,HERBAL ESSENCES,16550.0,1367769.0,True,400.0,41.375,> Perfumería > Cuidado Capilar > Shampoo >,shampoo,estandar,general,https://www.jumbo.com.ar/shampoo-herbal-essences-argan-400ml/p
Jumbo,411252,407092,Shampoo Sedal Preboticos 340 Ml,DOVE,5600.0,462810.0,True,340.0,16.4706,> Perfumería > Cuidado Capilar > Shampoo >,shampoo,estandar,general,https://www.jumbo.com.ar/shampoo-sedal-preboticos-340-ml/p
Jumbo,249732,246723,Shampoo Capilatis Limpieza Prof 420ml,CAPILATIS,9650.0,797521.0,True,420.0,22.9762,> Perfumería > Cuidado Capilar > Shampoo >,shampoo,estandar,general,https://www.jumbo.com.ar/shampoo-capilatis-limpieza-prof-420ml/p
Jumbo,3079021,3078345,Shampoo Herbal Essences Manzanilla 400ml,HERBAL ESSENCES,16550.0,1367769.0,True,400.0,41.375,> Perfumería > Cuidado Capilar > Shampoo >,shampoo,estandar,general,https://www.jumbo.com.ar/shampoo-herbal-essences-manzanilla-400ml/p
Jumbo,389289,387395,Shampoo Ceramidas 190 Ml Sedal,SEDAL,3900.0,322314.0,True,190.0,20.5263,> Perfumería > Cuidado Capilar > Shampoo >,shampoo,estandar,general,https://www.jumbo.com.ar/shampoo-ceramidas-190-ml-sedal/p
Jumbo,251368,250669,Shampoo Herbal Essences Coconut 400ml,HERBAL ESSENCES,16550.0,1367769.0,True,400.0,41.375,> Perfumería > Cuidado Capilar > Shampoo >,shampoo,estandar,general,https://www.jumbo.com.ar/shampoo-herbal-essences-coconut-400ml/p
Jumbo,3087384,3086605,Shampoo Dove Humectcoco Antioxi 650ml,DOVE,16700.0,1380165.0,True,650.0,25.6923,> Perfumería > Cuidado Capilar > Shampoo >,shampoo,estandar,general,https://www.jumbo.com.ar/shampoo-dove-humectcoco-antioxi-650ml/p
Jumbo,396886,394642,Shampoo Dove Reconstrucción Completa 400 Ml,DOVE,9150.0,756198.0,True,400.0,22.875,> Perfumería > Cuidado Capilar > Shampoo >,shampoo,estandar,general,https://www.jumbo.com.ar/shampoo-dove-reconstruccion-completa-400-ml-4/p
Jumbo,394212,392218,Shampoo Dove óleo Nutrición 400 Ml,DOVE,9150.0,756198.0,True,400.0,22.875,> Perfumería > Cuidado Capilar > Shampoo >,shampoo,estandar,general,https://www.jumbo.com.ar/shampoo-dove-oleo-nutricion-400-ml-3/p
Jumbo,393556,391584,Shampoo Dove Regeneración Extrema 400 Ml,DOVE,9150.0,756198.0,True,400.0,22.875,> Perfumería > Cuidado Capilar > Shampoo >,shampoo,estandar,general,https://www.jumbo.com.ar/shampoo-dove-regeneracion-extrema-400-ml-3/p
Jumbo,3078387,3077731,Shampoo Dove Bond Uv Repair 400ml,DOVE,9695.0,801240.0,True,400.0,24.2375,> Perfumería > Cuidado Capilar > Shampoo >,shampoo,profesional,general,https://www.jumbo.com.ar/shampoo-dove-bond-uv-repair-400ml/p
Jumbo,3070279,3069872,Shampoo Keratina Antifrizz 500 Ml Tresemmé,TRESEMMÉ,10400.0,859504.0,True,500.0,20.8,> Perfumería > Cuidado Capilar > Shampoo >,shampoo,estandar,tratado,https://www.jumbo.com.ar/shampoo-keratina-antifrizz-x-500-ml-tresemme/p
