fuente,producto_id,sku_id,nombre,marca,precio_ars,precio_lista,disponible,volumen_ml,precio_por_ml,categoria_raw,tipo_producto,linea_tipo,tipo_cabello,url
Farmacity,234384,234384,Shampoo Elvive Hialurónico Pure x 400 ml,Elvive,6714.0,11190.0,True,400.0,16.785,> Cuidado Capilar > Shampoo Y Acondicionador >,shampoo,profesional,general,https://www.farmacity.com/shampoo-elvive-hialuronico-pure-x-400-ml/p
Farmacity,221679,221679,Shampoo Elvive Hidra Hialurónico x 400 ml,Elvive,6714.0,11190.0,True,400.0,16.785,> Cuidado Capilar > Shampoo Y Acondicionador >,shampoo,profesional,general,https://www.farmacity.com/shampoo-elvive-hidra-hialuronico-x-400-ml/p
Farmacity,164244,164244,Shampoo Capilatis PH Neutro Limpieza Profunda x 420 ml,Capilatis,9000.0,9000.0,True,420.0,21.4286,> Cuidado Capilar > Shampoo Y Acondicionador >,shampoo,estandar,general,https://www.farmacity.com/shampoo-limpieza-profunda-capilatis-ph-neutro-x-420-ml/p
Farmacity,1031,109084,Shampoo Dove Reconstrucción + Aminoácido x 400 ml,Dove,5812.0,9687.0,True,400.0,14.53,> Cuidado Capilar > Shampoo Y Acondicionador >,shampoo,estandar,general,https://www.farmacity.com/shampoo-dove-reconstruccion-completa-botella-x-400-ml/p
Farmacity,248551,248551,Shampoo Elvive Glycolic Cristal x 400 ml,Elvive,7494.0,12490.0,True,400.0,18.735,> Cuidado Capilar > Shampoo Y Acondicionador >,shampoo,profesional,general,https://www.farmacity.com/shampoo-elvive-glycolic-cristal-x-400-ml/p
Farmacity,237877,237877,Shampoo Capilatis Ortiga Concentrado x 420 ml,Capilatis,7575.0,10100.0,True,420.0,18.0357,> Cuidado Capilar > Shampoo Y Acondicionador >,shampoo,estandar,general,https://www.farmacity.com/shampoo-capilatis-ortiga-concentrado-x-420-ml/p
Farmacity,232640,232640,Shampoo Control Caspa Head & Shoulders Limpieza y Revitalización x 375 ml,Head and Shoulders,7895.0,12146.0,True,375.0,21.0533,> Cuidado Capilar > Shampoo Y Acondicionador >,shampoo,estandar,anticaspa,https://www.farmacity.com/shampoo-head-y-shoulders-limpieza-y-revitalizacion-x-375-ml/p
Farmacity,229980,229980,Shampoo Tío Nacho Engrosador x 415 ml,Tío Nacho,11750.0,11750.0,True,415.0,28.3133,> Cuidado Capilar > Shampoo Y Acondicionador >,shampoo,estandar,general,https://www.farmacity.com/shampoo-tio-nacho-engorsador-x-415-ml/p
Farmacity,225541,225541,Shampoo Bagóvit Pelo Largo y Sin Frizz x 350 ml,Bagóvit,8984.0,8984.0,True,350.0,25.6686,> Cuidado Capilar > Shampoo Y Acondicionador >,shampoo,estandar,general,https://www.farmacity.com/shampoo-bagovit-pelo-largo-y-sin-frizz-x-350-ml/p
Farmacity,246480,246480,Shampoo Dove Uv Repair & Glow x 400 ml,Dove,6453.0,10755.0,True,400.0,16.1325,> Cuidado Capilar > Shampoo Y Acondicionador >,shampoo,profesional,general,https://www.farmacity.com/shampoo-dove-uv-repair-x-400-ml/p
Farmacity,233317,233317,Shampoo Alta Moda Detox Purify x 300 ml,Alta Moda,5692.0,5692.0,True,300.0,18.9733,> Cuidado Capilar > Shampoo Y Acondicionador >,shampoo,estandar,general,https://www.farmacity.com/shampoo-alta-moda-e-detox-x-300-ml/p
Farmacity,230602,230602,Shampoo Dosificador Tresemmé Ondas Boho x 500 ml,Tresemmé,6574.0,10114.0,True,500.0,13.148,> Cuidado Capilar > Shampoo Y Acondicionador >,shampoo,estandar,general,https://www.farmacity.com/shampoo-dosificador-tresemme-ondas-boho-x-500-ml/p
Farmacity,229990,229990,Shampoo Elvive Colorvive x 200 ml,Elvive,4494.0,7490.0,True,200.0,22.47,> Cuidado Capilar > Shampoo Y Acondicionador >,shampoo,profesional,tratado,https://www.farmacity.com/shampoo-elvive-matizador-violeta-x-200-ml/p
